year,direction,family,state,tail,n,flagged,symbols,exchanges,loser_rejection,winner_sacrifice,selective_efficiency,TP1,TP1_rate,Loss,Full_Stop,Avg_R,Net
2024,LONG,transition,NO_BASE_BREAKOUT,LOSER,3,2,2,1,0.06896551724137931,0.0,0.06896551724137931,0,0.0,2,2,-1.1340800771279995,-23.686375245941658
2024,LONG,transition,NO_BASE_BREAKOUT,LOSER,5,1,1,1,0.037037037037037035,0.0,0.037037037037037035,0,0.0,1,1,-1.145032670764634,-11.771698888755902
2024,LONG,transition,SPIKE_BREAKOUT,NONE,0,34,30,1,0.78125,0.6923076923076923,0.08894230769230771,9,26.47058823529412,25,25,-0.04900871805149566,-22.14280682299956
2024,LONG,transition,SPIKE_BREAKOUT,WINNER,1,33,29,1,0.78125,0.6666666666666666,0.11458333333333337,8,24.242424242424242,25,25,-0.19230735758046383,-70.30672782671549
2024,LONG,transition,SPIKE_BREAKOUT,WINNER,3,33,29,1,0.78125,0.8,-0.018750000000000044,8,24.242424242424242,25,25,-0.19230735758046383,-70.30672782671549
2024,LONG,transition,SPIKE_BREAKOUT,WINNER,5,31,27,1,0.78125,0.75,0.03125,6,19.35483870967742,25,25,-0.5028407621425982,-162.5510020277621
2024,LONG,transition,SPIKE_BREAKOUT,LOSER,1,33,30,1,0.7741935483870968,0.6923076923076923,0.08188585607940446,9,27.27272727272727,24,24,-0.014169552885523988,-9.700466518077778
2024,LONG,transition,SPIKE_BREAKOUT,LOSER,3,31,29,1,0.7586206896551724,0.6923076923076923,0.06631299734748008,9,29.03225806451613,22,22,0.062060930055172846,14.42386906628882
2024,LONG,transition,SPIKE_BREAKOUT,LOSER,5,30,28,1,0.7777777777777778,0.6923076923076923,0.0854700854700855,9,30.0,21,21,0.09954512812089723,26.329445156715007
2024,LONG,transition,WEAK_TRANSITION,NONE,0,8,7,1,0.15625,0.23076923076923078,-0.07451923076923078,3,37.5,5,4,0.8047389340514911,63.37485517614793
2024,LONG,transition,WEAK_TRANSITION,WINNER,1,8,7,1,0.15625,0.25,-0.09375,3,37.5,5,4,0.8047389340514911,63.37485517614793
